t_index	term	df
539	anxious	2
540	anybodi	14
541	anymor	9
542	anytim	4
543	anyway	13
544	aok	1
545	aon	1
546	apart	68
547	ape	1
548	apec	4
549	apex	1
550	apolit	1
551	apolog	18
552	appal	1
553	appallingli	1
554	appar	193
555	apparatu	7
556	appeal	95
557	appear	196
558	appel	1
559	appetit	2
560	appl	3
561	applaud	10
562	applaus	8
563	applepick	1
564	appleton	2
565	appli	18
566	applic	16
567	appoint	65
568	appointe	3
569	apprais	2
570	appreci	16
571	apprehend	4
572	apprehens	2
573	apprentic	3
574	appris	1
575	approach	49
576	appropri	18
577	approv	25
578	approxim	12
579	april	67
580	aprista	4
581	apron	1
582	aquil	2
583	arab	61
584	arabamerican	2
585	arabi	1
586	arabia	71
587	arabian	44
588	arabianborn	1
589	arablanguag	3
590	arablook	1
591	arabspeak	1
592	arafat	16
593	arantxa	3
594	arazi	7
595	arbadi	1
596	arbit	1
597	arbitrari	2
598	arbitrarili	1
599	arc	1
600	arch	2
601	archaeolog	2
602	archbishop	4
603	archer	1
604	archeri	4
605	archetyp	1
606	archi	5
607	archibald	1
608	architect	7
609	architectur	4
610	arctic	6
611	ardent	4
612	arduou	1
613	arena	22
614	arent	16
615	argentin	1
616	argentina	10
617	argu	45
618	arguabl	2
619	argument	18
620	ari	1
621	arid	5
622	arif	1
623	arisen	1
624	arithmet	1
625	aritomi	4
626	ariz	6
627	arizona	7
628	ark	8
629	arkadelphia	1
630	arkan	1
631	arkansa	28
632	arkansasbas	1
633	arkin	2
634	arleigh	2
635	arleighburkeclass	1
636	arlen	2
637	arlington	8
638	arm	132
639	armament	2
640	armbrist	1
641	armenia	2
642	armey	1
643	armi	136
644	armitag	1
645	armor	17
646	armori	3
647	arn	3
648	arnaud	17
649	arni	1
650	arno	1
651	arnold	3
652	arnot	1
653	aros	5
654	arous	1
655	arraign	2
656	arrang	38
657	array	5
658	arrear	1
659	arrest	109
660	arriv	180
661	arrog	3
662	arrow	4
663	arsen	10
664	arseni	1
665	arsonist	1
666	arthriti	1
667	arthur	4
668	articl	5
669	articul	1
670	artifact	1
671	artifici	4
672	artist	4
673	artudo	1
674	arturo	6
675	aruba	2
676	aryapov	1
677	asa	1
678	asahi	1
679	ascend	1
680	ascrib	4
681	asean	1
682	ash	4
683	asham	1
684	ashcroft	56
685	ashkroft	1
686	ashok	1
687	ashor	2
688	ashraf	1
689	ashshaab	1
690	ashtray	1
691	asia	22
692	asian	15
693	asiapacif	16
694	asid	30
695	aspect	11
696	aspir	2
697	assad	1
698	assail	4
699	assam	6
700	assassin	21
701	assault	28
702	assembl	18
703	assemblyforexport	1
704	assert	17
705	assess	48
706	asset	10
707	assign	24
708	assist	76
709	assistedsuicid	1
710	associ	117
711	associateturnedinform	3
712	assort	1
713	assum	38
714	assumpt	7
715	assur	35
716	assuredli	2
717	astakhov	12
718	asterisk	2
719	astonish	7
720	astound	2
721	astronom	1
722	astut	1
723	asylum	29
724	asymmetr	2
725	atal	13
726	atck	2
727	atf	2
728	atfein	1
729	athal	1
730	athlet	3
731	atlant	15
732	atlanta	6
733	atmat	1
734	atmospher	10
735	atom	4
